,pred_log_pm25,lat,lon,obs_pm25
182,1.1765416,34.61529922485352,-80.19889831542969,3.35
183,1.2300824,34.21429824829102,-79.76730346679688,3.85
184,1.1275808,34.95560073852539,-81.92479705810547,2.85
185,0.44976792,44.34860229492188,-96.80729675292967,2.75
186,0.15912212,43.74694442749023,-101.9411163330078,4.15
187,1.0378389,35.05100631713867,-85.29287719726562,2.55
188,1.6202298,29.4239330291748,-98.58050537109376,6.3
189,1.4590278,29.52939796447754,-98.3913803100586,5.0
190,1.4771436,29.86458206176758,-97.66487121582033,6.65
191,2.0438912,26.07330131530762,-97.16670989990234,6.0
192,1.4814194,31.76560211181641,-106.4550018310547,3.05
193,1.5014777,31.66751861572266,-106.2877349853516,2.1
194,1.6628755,29.26309967041016,-94.8563995361328,3.55
195,1.4953775,29.90110015869141,-95.32611083984376,4.5
196,1.4715673,29.72329902648926,-95.63580322265624,4.2
197,1.4793829,29.76810073852539,-95.22059631347656,5.0
198,1.4653362,29.58309936523438,-95.01559448242188,4.45
199,1.4845897,29.81452941894531,-95.38768768310548,3.95
200,1.4885422,30.21463394165039,-98.08331298828124,6.45
201,2.040408,26.22622680664062,-98.29106903076172,5.2
202,2.0411952,26.28862190246582,-98.15206909179688,5.35
203,2.0449655,27.42689895629883,-97.29859161376952,6.75
204,1.4967318,31.65309715270996,-97.0706024169922,7.8
205,1.5868845,28.70460510253906,-100.4511566162109,14.65
206,1.5324451,30.35029983520508,-95.4250030517578,7.25
207,1.5279955,30.35420036315918,-97.760009765625,7.0
208,1.4929835,30.26330184936523,-97.71310424804688,5.65
209,2.037464,27.59939956665039,-99.5333023071289,9.55
210,0.3075558,41.84277725219727,-111.8519439697266,1.7
211,1.2347716,39.59579849243164,-110.7699890136719,1.0
212,0.41981193,40.89800262451172,-111.885498046875,2.45
213,1.1674603,40.2943000793457,-110.0089950561523,0.95
214,0.4441094,40.73350143432617,-111.871696472168,2.75
215,0.37407315,40.79550170898438,-111.9308929443359,2.85
216,1.0492312,40.4647216796875,-109.5608291625977,0.85
217,1.1293663,40.34140014648438,-111.7136077880859,3.45
218,1.1719104,40.13639831542969,-111.6602020263672,3.5
219,0.16351454,41.30279922485352,-111.9882965087891,1.85
220,0.74526817,38.07656860351562,-78.50396728515625,1.2
221,1.1909919,37.34437942504883,-77.25924682617188,0.95
222,1.1827652,37.35747909545898,-77.59355163574219,1.9
223,0.83124644,38.77334976196289,-77.10469055175781,1.25
224,0.7018488,39.28102111816406,-78.08157348632812,1.6
225,0.96719456,37.5565185546875,-77.4002685546875,1.85
226,0.90486115,39.02473449707031,-77.48925018310547,1.55
227,0.9989279,37.28342056274414,-79.884521484375,2.7
228,0.69033164,38.47753143310547,-78.81951904296875,1.95
229,1.2027912,37.10372924804688,-76.38702392578125,2.5
230,1.3218662,36.85554885864258,-76.30135345458984,2.05
231,0.10611192,48.11500549316406,-123.4364471435547,6.15
232,0.2530038,47.13029479980469,-119.272590637207,2.75
233,0.17757078,48.12910079956055,-122.7789001464844,1.7
234,0.087050624,47.52970123291016,-122.3202972412109,3.95
235,0.32603434,47.22634124755859,-122.4625701904297,4.75
236,0.63040143,48.46540069580078,-122.5599899291992,3.75
237,0.35976744,48.05431365966797,-122.1715240478516,6.0
238,0.051395837,47.69969940185547,-117.4263000488281,2.35
239,-0.024821782,46.72449493408203,-117.1800994873047,2.35
240,0.03475001,46.81529998779297,-117.8738861083984,2.65
241,0.15025331,47.23130416870117,-117.3684997558594,2.85
242,0.5773547,43.10079956054688,-89.3572006225586,2.35
243,0.5812755,42.69213104248047,-90.69637298583984,3.05
244,0.49290156,43.01780319213867,-87.93330383300781,1.15
245,1.4822226,31.29129409790039,-110.9515151977539,2.6
246,0.43326053,41.75612640380859,-124.2034683227539,4.0
247,1.3843406,32.71017837524414,-117.1426544189453,1.6
248,1.2543052,36.13579559326172,-118.810791015625,0.95
249,1.1006031,37.46943283081055,-105.8789672851562,1.8
250,1.161435,37.93794631958008,-107.8131790161133,2.15
251,0.8008602,39.15499877929688,-75.51806640625,1.85
252,1.4249223,29.5661506652832,-82.26606750488281,4.35
253,1.8232132,26.2940502166748,-80.17634582519531,1.9
254,1.4828581,30.3546142578125,-81.54779052734375,3.15
255,1.4885607,30.42602729797363,-82.79534912109375,6.15
256,1.8478832,25.47824859619141,-80.48374938964844,2.9
257,1.3843135,28.4463005065918,-81.41743469238281,2.65
258,1.8275146,26.68760681152344,-80.21961975097656,2.75
259,1.8157915,26.45694351196289,-80.09278106689453,2.4
260,1.9553553,27.75704193115234,-82.66180419921875,3.5
261,1.452314,32.42739868164062,-84.9457015991211,3.2
262,1.0504919,34.97840118408203,-85.29429626464844,2.65
263,1.4160538,32.96720123291016,-82.80699920654297,4.95
264,0.56621397,40.12305450439453,-88.24017333984375,1.35
265,0.3452526,41.5786018371582,-87.55738830566406,0.8
266,0.3591337,41.80117034912109,-87.83193969726562,0.55
267,0.356132,41.78276062011719,-87.80537414550781,1.0
268,0.3647634,41.78470993041992,-88.24220275878906,1.05
269,0.370312,42.02130889892578,-88.2829818725586,1.45
270,0.6914541,38.70063018798828,-90.14476013183594,1.35
271,0.39448914,42.26699829101562,-89.08917236328125,1.85
272,0.41787848,41.08183670043945,-85.08834075927734,1.25
273,0.52182823,40.19950103759766,-85.38790893554688,2.05
274,0.62362415,38.39179992675781,-86.92967224121094,0.9
275,0.3509847,41.70693969726562,-86.89111328125,0.95
276,0.57899594,38.17010116577148,-86.98721313476562,1.05
277,0.6779435,37.71451187133789,-85.87081909179688,1.15
278,0.8996517,38.77841186523438,-75.86963653564453,1.75
279,0.8938586,38.17654037475586,-75.70149230957031,1.7
280,0.4094393,42.88536834716797,-85.67977905273438,2.55
281,1.0698861,44.13619232177734,-93.98103332519533,1.55
282,1.1029692,35.06356430053711,-106.6475067138672,2.85
283,1.1066476,35.28179168701172,-80.85147094726562,2.75
284,0.33148047,39.49071884155273,-84.36373901367188,1.7
285,0.44087887,39.91250991821289,-83.01158905029297,0.8
286,0.46226862,39.10491943359375,-84.55116271972656,1.2
287,-0.03986704,44.56580352783203,-123.2927093505859,0.85
288,0.8946715,45.29140853881836,-122.3326263427734,1.9
289,1.0518296,43.36257553100586,-124.2188568115234,0.7
290,0.6866932,42.05459594726562,-124.2767791748047,0.75
291,0.031271655,44.09362030029297,-121.2725143432617,1.8
292,0.08035554,44.02428436279297,-121.3309555053711,0.9
293,0.12428247,43.86895751953125,-121.4342575073242,1.1
294,0.08942147,44.05465698242188,-121.2940521240234,1.35
295,0.0060739107,44.27500152587891,-121.1905059814453,1.65
296,0.4406859,43.70375823974609,-121.5272903442383,1.8
297,0.34659946,45.68513488769531,-121.527473449707,1.75
298,0.6638315,42.33240127563477,-122.8890991210938,2.0
299,0.52941674,43.98964309692383,-124.1093063354492,2.0
300,0.0035894979,44.07635498046875,-123.0368957519531,3.1
301,0.08136754,44.62439727783203,-123.940071105957,0.8
302,0.27850768,44.97656631469727,-122.9763107299805,0.95
303,0.8442549,45.14314270019531,-122.8547058105469,1.0
304,0.27405298,45.49620056152344,-122.4833984375,1.65
305,0.27578524,45.47142028808594,-122.6014709472656,1.25
306,0.29986027,45.52771759033203,-122.6511535644531,0.95
307,0.29160568,45.51813507080078,-122.6884002685547,1.15
308,-0.1218682,45.56220245361328,-122.5756225585938,1.85
309,0.29852638,44.922607421875,-123.3019409179688,0.8
310,0.5151241,45.4547233581543,-123.8199920654297,1.2
311,0.904309,45.21955871582031,-123.192985534668,0.9
312,0.5584707,40.49979019165039,-80.07135009765625,1.35
313,0.4994003,40.29438018798828,-79.88529968261719,1.1
314,0.473424,39.91766357421875,-79.80549621582031,1.0
315,1.4488083,29.63513946533203,-98.4176788330078,6.1
316,1.575045,30.62740707397461,-96.3628387451172,6.0
317,2.0434926,25.90091133117676,-97.50778198242188,2.5
318,1.6605936,30.57915115356445,-97.41647338867188,5.95
319,0.7394293,40.59805679321289,-111.8941650390625,1.75
320,0.38840714,40.777099609375,-111.9450073242188,2.25
321,0.4052273,40.76652526855469,-111.8283538818359,2.35
322,0.5592556,40.662841796875,-111.9018020629883,3.0
323,0.9698222,40.49795913696289,-111.3976135253906,2.1
324,0.82237977,38.76839828491211,-77.1834716796875,1.3
325,1.3167348,36.84188079833984,-76.18122863769531,2.35
326,0.1294794,47.28139877319336,-122.2232894897461,3.6
327,1.1547993,48.94770050048828,-122.1470947265625,3.95
328,0.5991812,38.41024017333984,-82.43243408203125,1.65
329,1.3167615,33.71968841552734,-116.189697265625,1.85
330,1.1328777,34.91262817382812,-80.87428283691406,3.0
